detection_classes,detection_scores
18,0.9406898
18,0.93450415
18,0.23088238
18,0.22518301
18,0.17250198
33,0.1396198
1,0.13212377
63,0.09975886
18,0.08992714
21,0.08888817
3,0.08091658
18,0.07895237
1,0.0781841
18,0.0756582
21,0.07331279
18,0.07074976
62,0.06597456
18,0.06404546
18,0.06388101
62,0.06381172
1,0.06380266
62,0.060501575
18,0.058983922
3,0.058983356
1,0.0576123
21,0.05641398
1,0.056389958
1,0.054999948
1,0.0549573
1,0.054261148
1,0.054254264
18,0.054095745
1,0.053358972
1,0.052790493
1,0.052286923
1,0.05219513
62,0.051640898
1,0.05065921
1,0.050302386
1,0.048377246
1,0.048228055
1,0.04720658
62,0.04674381
18,0.046717852
1,0.046444297
63,0.046141654
1,0.044201076
1,0.042864084
84,0.042512655
1,0.041743785
1,0.041665643
18,0.04137349
1,0.040960312
1,0.04053518
62,0.03991449
21,0.03988719
57,0.03984368
18,0.03930971
18,0.03923896
62,0.038779855
18,0.038775176
1,0.038529724
1,0.03816223
1,0.038160324
1,0.037423372
1,0.036899507
1,0.036777884
1,0.036711067
18,0.036548793
62,0.03635332
1,0.036123604
88,0.036108226
47,0.03602189
1,0.03586459
47,0.035829037
62,0.03572759
84,0.035654247
1,0.035556525
18,0.035043657
1,0.034955293
1,0.03489262
1,0.034599543
1,0.033841044
84,0.033819497
18,0.033637047
62,0.033498198
18,0.033003986
21,0.03294912
1,0.03281012
62,0.03275439
62,0.032532275
1,0.032007307
18,0.03199452
21,0.031728834
1,0.03149143
18,0.031331807
47,0.031064212
1,0.03057921
1,0.030450344
47,0.030417591
